first_name,last_name,gender,birthday,name,type,party,start_date,end_date,congress_numbers,state
maria,cantwell,F,1958-10-13,Maria Cantwell,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",washington
amy,klobuchar,F,1960-05-25,Amy Klobuchar,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",minnesota
bernard,sanders,M,1941-09-08,Bernard Sanders,sen,Independent,2019-01-03,2025-01-03,"[116, 117, 118]",vermont
sheldon,whitehouse,M,1955-10-20,Sheldon Whitehouse,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",rhode island
john,barrasso,M,1952-07-21,John Barrasso,sen,Republican,2019-01-03,2025-01-03,"[116, 117, 118]",wyoming
roger,wicker,M,1951-07-05,Roger F. Wicker,sen,Republican,2019-01-03,2025-01-03,"[116, 117, 118]",mississippi
susan,collins,F,1952-12-07,Susan M. Collins,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",maine
john,cornyn,M,1952-02-02,John Cornyn,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",texas
richard,durbin,M,1944-11-21,Richard J. Durbin,sen,Democrat,2015-01-06,2021-01-03,"[114, 115, 116]",illinois
lindsey,graham,M,1955-07-09,Lindsey Graham,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",south carolina
mitch,mcconnell,M,1942-02-20,Mitch McConnell,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",kentucky
jeff,merkley,M,1956-10-24,Jeff Merkley,sen,Democrat,2015-01-06,2021-01-03,"[114, 115, 116]",oregon
john,reed,M,1949-11-12,Jack Reed,sen,Democrat,2015-01-06,2021-01-03,"[114, 115, 116]",rhode island
james,risch,M,1943-05-03,James E. Risch,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",idaho
jeanne,shaheen,F,1947-01-28,Jeanne Shaheen,sen,Democrat,2015-01-06,2021-01-03,"[114, 115, 116]",new hampshire
mark,warner,M,1954-12-15,Mark R. Warner,sen,Democrat,2015-01-06,2021-01-03,"[114, 115, 116]",virginia
kirsten,gillibrand,F,1966-12-09,Kirsten E. Gillibrand,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",new york
christopher,coons,M,1963-09-09,Christopher A. Coons,sen,Democrat,2015-01-06,2021-01-03,"[114, 115, 116]",delaware
tammy,baldwin,F,1962-02-11,Tammy Baldwin,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",wisconsin
michael,bennet,M,1964-11-28,Michael F. Bennet,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",colorado
marsha,blackburn,F,1952-06-06,Marsha Blackburn,sen,Republican,2019-01-03,2025-01-03,"[116, 117, 118]",tennessee
richard,blumenthal,M,1946-02-13,Richard Blumenthal,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",connecticut
john,boozman,M,1950-12-10,John Boozman,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",arkansas
shelley,capito,F,1953-11-26,Shelley Moore Capito,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",west virginia
bill,cassidy,M,1957-09-28,Bill Cassidy,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",louisiana
michael,crapo,M,1951-05-20,Mike Crapo,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",idaho
charles,grassley,M,1933-09-17,Chuck Grassley,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",iowa
martin,heinrich,M,1971-10-17,Martin Heinrich,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",new mexico
mazie,hirono,F,1947-11-03,Mazie K. Hirono,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",hawaii
john,hoeven,M,1957-03-13,John Hoeven,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",north dakota
ron,johnson,M,1955-04-08,Ron Johnson,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",wisconsin
james,lankford,M,1968-03-04,James Lankford,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",oklahoma
mike,lee,M,1971-06-04,Mike Lee,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",utah
ben,luján,M,1972-06-07,Ben Ray Luján,rep,Democrat,2019-01-03,2021-01-03,[116],new mexico
edward,markey,M,1946-07-11,Edward J. Markey,sen,Democrat,2015-01-06,2021-01-03,"[114, 115, 116]",massachusetts
jerry,moran,M,1954-05-29,Jerry Moran,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",kansas
lisa,murkowski,F,1957-05-22,Lisa Murkowski,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",alaska
christopher,murphy,M,1973-08-03,Christopher Murphy,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",connecticut
patty,murray,F,1950-10-11,Patty Murray,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",washington
rand,paul,M,1963-01-07,Rand Paul,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",kentucky
gary,peters,M,1958-12-01,Gary C. Peters,sen,Democrat,2015-01-06,2021-01-03,"[114, 115, 116]",michigan
charles,schumer,M,1950-11-23,Charles E. Schumer,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",new york
tim,scott,M,1965-09-19,Tim Scott,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",south carolina
john,thune,M,1961-01-07,John Thune,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",south dakota
chris,van hollen,M,1959-01-10,Chris Van Hollen,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",maryland
ron,wyden,M,1949-05-03,Ron Wyden,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",oregon
todd,young,M,1972-08-24,Todd Young,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",indiana
brian,schatz,M,1972-10-20,Brian Schatz,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",hawaii
tom,cotton,M,1977-05-13,Tom Cotton,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",arkansas
tammy,duckworth,F,1968-03-12,Tammy Duckworth,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",illinois
elizabeth,warren,F,1949-06-22,Elizabeth Warren,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",massachusetts
angus,king,M,1944-03-31,"Angus S. King, Jr.",sen,Independent,2019-01-03,2025-01-03,"[116, 117, 118]",maine
steve,daines,M,1962-08-20,Steve Daines,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",montana
kevin,cramer,M,1961-01-21,Kevin Cramer,sen,Republican,2019-01-03,2025-01-03,"[116, 117, 118]",north dakota
deb,fischer,F,1951-03-01,Deb Fischer,sen,Republican,2019-01-03,2025-01-03,"[116, 117, 118]",nebraska
ted,cruz,M,1970-12-22,Ted Cruz,sen,Republican,2019-01-03,2025-01-03,"[116, 117, 118]",texas
timothy,kaine,M,1958-02-26,Tim Kaine,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",virginia
cory,booker,M,1969-04-27,Cory A. Booker,sen,Democrat,2015-01-06,2021-01-03,"[114, 115, 116]",new jersey
dan,sullivan,M,1964-11-13,Dan Sullivan,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",alaska
joni,ernst,F,1970-07-01,Joni Ernst,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",iowa
thom,tillis,M,1960-08-30,Thom Tillis,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",north carolina
mike,rounds,M,1954-10-24,Mike Rounds,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",south dakota
john,kennedy,M,1951-11-21,John Kennedy,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",louisiana
margaret,hassan,F,1958-02-27,Margaret Wood Hassan,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",new hampshire
catherine,cortez masto,F,1964-03-29,Catherine Cortez Masto,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",nevada
roger,marshall,M,1960-08-09,Roger Marshall,rep,Republican,2019-01-03,2021-01-03,[116],kansas
jacky,rosen,F,1957-08-02,Jacky Rosen,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",nevada
tina,smith,F,1958-03-04,Tina Smith,sen,Democrat,2018-11-07,2021-01-03,"[115, 116]",minnesota
cindy,hyde-smith,F,1959-05-10,Cindy Hyde-Smith,sen,Republican,2018-11-28,2021-01-03,"[115, 116]",mississippi
rick,scott,M,1952-12-01,Rick Scott,sen,Republican,2019-01-08,2025-01-03,"[116, 117, 118]",florida
joshua,hawley,M,1979-12-31,Josh Hawley,sen,Republican,2019-01-03,2025-01-03,"[116, 117, 118]",missouri
mark,kelly,M,1964-02-21,Mark Kelly,sen,Democrat,2020-12-02,2023-01-03,"[116, 117]",arizona
gilbert,cisneros,M,1971-02-12,"Gilbert Ray Cisneros, Jr.",rep,Democrat,2019-01-03,2021-01-03,[116],california
tom,marino,M,1952-08-15,Tom Marino,rep,Republican,2019-01-03,2019-01-23,[116],pennsylvania
walter,jones,M,1943-02-10,Walter B. Jones,rep,Republican,2019-01-04,2019-02-10,[116],north carolina
sean,duffy,M,1971-10-03,Sean P. Duffy,rep,Republican,2019-01-03,2019-09-23,[116],wisconsin
chris,collins,M,1950-05-20,Chris Collins,rep,Republican,2019-01-03,2019-10-01,[116],new york
elijah,cummings,M,1951-01-18,Elijah E. Cummings,rep,Democrat,2019-01-03,2019-10-17,[116],maryland
katie,hill,F,1987-08-25,Katie Hill,rep,Democrat,2019-01-03,2019-11-03,[116],california
john,isakson,M,1944-12-28,Johnny Isakson,sen,Republican,2017-01-03,2019-12-31,"[115, 116]",georgia
duncan,hunter,M,1976-12-07,Duncan Hunter,rep,Republican,2019-01-03,2020-01-13,[116],california
mark,meadows,M,1959-07-28,Mark Meadows,rep,Republican,2019-01-03,2020-03-30,[116],north carolina
john,ratcliffe,M,1965-10-20,John Ratcliffe,rep,Republican,2019-01-03,2020-05-22,[116],texas
john,lewis,M,1940-02-21,John Lewis,rep,Democrat,2019-01-03,2020-07-17,[116],georgia
tom,graves,M,1970-02-03,Tom Graves,rep,Republican,2019-01-03,2020-10-04,[116],georgia
martha,mcsally,F,1966-03-22,Martha McSally,sen,Republican,2019-01-03,2020-12-02,[116],arizona
paul,cook,M,1943-03-03,Paul Cook,rep,Republican,2019-01-03,2020-12-07,[116],california
lamar,alexander,M,1940-07-03,Lamar Alexander,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",tennessee
michael,enzi,M,1944-02-01,Michael B. Enzi,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",wyoming
pat,roberts,M,1936-04-20,Pat Roberts,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",kansas
tom,udall,M,1948-05-18,Tom Udall,sen,Democrat,2015-01-06,2021-01-03,"[114, 115, 116]",new mexico
justin,amash,M,1980-04-18,Justin Amash,rep,Libertarian,2019-01-03,2021-01-03,[116],michigan
rob,bishop,M,1951-07-13,Rob Bishop,rep,Republican,2019-01-03,2021-01-03,[116],utah
wm.,clay,M,1956-07-27,Wm. Lacy Clay,rep,Democrat,2019-01-03,2021-01-03,[116],missouri
k.,conaway,M,1948-06-11,K. Michael Conaway,rep,Republican,2019-01-03,2021-01-03,[116],texas
susan,davis,F,1944-04-13,Susan A. Davis,rep,Democrat,2019-01-03,2021-01-03,[116],california
eliot,engel,M,1947-02-18,Eliot L. Engel,rep,Democrat,2019-01-03,2021-01-03,[116],new york
bill,flores,M,1954-02-25,Bill Flores,rep,Republican,2019-01-03,2021-01-03,[116],texas
cory,gardner,M,1974-08-22,Cory Gardner,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",colorado
peter,king,M,1944-04-05,Peter T. King,rep,Republican,2019-01-03,2021-01-03,[116],new york
steve,king,M,1949-05-28,Steve King,rep,Republican,2019-01-03,2021-01-03,[116],iowa
daniel,lipinski,M,1966-07-15,Daniel Lipinski,rep,Democrat,2019-01-03,2021-01-03,[116],illinois
david,loebsack,M,1952-12-23,David Loebsack,rep,Democrat,2019-01-03,2021-01-03,[116],iowa
nita,lowey,F,1937-07-05,Nita M. Lowey,rep,Democrat,2019-01-03,2021-01-03,[116],new york
kenny,marchant,M,1951-02-23,Kenny Marchant,rep,Republican,2019-01-03,2021-01-03,[116],texas
pete,olson,M,1962-12-09,Pete Olson,rep,Republican,2019-01-03,2021-01-03,[116],texas
collin,peterson,M,1944-06-29,Collin C. Peterson,rep,Democrat,2019-01-03,2021-01-03,[116],minnesota
martha,roby,F,1976-07-27,Martha Roby,rep,Republican,2019-01-03,2021-01-03,[116],alabama
david,roe,M,1945-07-21,David P. Roe,rep,Republican,2019-01-03,2021-01-03,[116],tennessee
f.,sensenbrenner,M,1943-06-14,"F. James Sensenbrenner, Jr.",rep,Republican,2019-01-03,2021-01-03,[116],wisconsin
josé,serrano,M,1943-10-24,José E. Serrano,rep,Democrat,2019-01-03,2021-01-03,[116],new york
john,shimkus,M,1958-02-21,John Shimkus,rep,Republican,2019-01-03,2021-01-03,[116],illinois
mac,thornberry,M,1958-07-15,Mac Thornberry,rep,Republican,2019-01-03,2021-01-03,[116],texas
scott,tipton,M,1956-11-09,Scott R. Tipton,rep,Republican,2019-01-03,2021-01-03,[116],colorado
peter,visclosky,M,1949-08-13,Peter J. Visclosky,rep,Democrat,2019-01-03,2021-01-03,[116],indiana
greg,walden,M,1957-01-10,Greg Walden,rep,Republican,2019-01-03,2021-01-03,[116],oregon
rob,woodall,M,1970-02-11,Rob Woodall,rep,Republican,2019-01-03,2021-01-03,[116],georgia
ted,yoho,M,1955-04-13,Ted S. Yoho,rep,Republican,2019-01-03,2021-01-03,[116],florida
doug,collins,M,1966-08-16,Doug Collins,rep,Republican,2019-01-03,2021-01-03,[116],georgia
tulsi,gabbard,F,1981-04-12,Tulsi Gabbard,rep,Democrat,2019-01-03,2021-01-03,[116],hawaii
susan,brooks,F,1960-08-25,Susan W. Brooks,rep,Republican,2019-01-03,2021-01-03,[116],indiana
joseph,kennedy,M,1980-10-04,Joseph P. Kennedy III,rep,Democrat,2019-01-03,2021-01-03,[116],massachusetts
george,holding,M,1968-04-17,George Holding,rep,Republican,2019-01-03,2021-01-03,[116],north carolina
denny,heck,M,1952-07-29,Denny Heck,rep,Democrat,2019-01-03,2021-01-03,[116],washington
bradley,byrne,M,1955-02-16,Bradley Byrne,rep,Republican,2019-01-03,2021-01-03,[116],alabama
ralph,abraham,M,1954-09-16,Ralph Lee Abraham,rep,Republican,2019-01-03,2021-01-03,[116],louisiana
will,hurd,M,1977-08-19,Will Hurd,rep,Republican,2019-01-03,2021-01-03,[116],texas
david,perdue,M,1949-12-10,David Perdue,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",georgia
mark,walker,M,1969-05-20,Mark Walker,rep,Republican,2019-01-03,2021-01-03,[116],north carolina
francis,rooney,M,1953-12-04,Francis Rooney,rep,Republican,2019-01-03,2021-01-03,[116],florida
paul,mitchell,M,1961-05-08,Paul Mitchell,rep,Independent,2019-01-03,2021-01-03,[116],michigan
greg,gianforte,M,1961-04-17,Greg Gianforte,rep,Republican,2019-01-03,2021-01-03,[116],montana
doug,jones,M,1954-05-04,Doug Jones,sen,Democrat,2018-01-03,2021-01-03,"[115, 116]",alabama
tj,cox,M,1963-07-18,TJ Cox,rep,Democrat,2019-01-03,2021-01-03,[116],california
harley,rouda,M,1961-12-10,Harley Rouda,rep,Democrat,2019-01-03,2021-01-03,[116],california
ross,spano,M,1966-07-16,Ross Spano,rep,Republican,2019-01-03,2021-01-03,[116],florida
debbie,mucarsel-powell,F,1971-01-18,Debbie Mucarsel-Powell,rep,Democrat,2019-01-03,2021-01-03,[116],florida
donna,shalala,F,1941-02-14,Donna E. Shalala,rep,Democrat,2019-01-03,2021-01-03,[116],florida
abby,finkenauer,F,1988-12-27,Abby Finkenauer,rep,Democrat,2019-01-03,2021-01-03,[116],iowa
steven,watkins,M,1976-09-18,Steve Watkins,rep,Republican,2019-01-03,2021-01-03,[116],kansas
xochitl,torres small,F,1984-11-15,Xochitl Torres Small,rep,Democrat,2019-01-03,2021-01-03,[116],new mexico
max,rose,M,1986-11-28,Max Rose,rep,Democrat,2019-01-03,2021-01-03,[116],new york
anthony,brindisi,M,1978-11-22,Anthony Brindisi,rep,Democrat,2019-01-03,2021-01-03,[116],new york
kendra,horn,F,1976-06-09,Kendra S. Horn,rep,Democrat,2019-01-03,2021-01-03,[116],oklahoma
joe,cunningham,M,1982-05-26,Joe Cunningham,rep,Democrat,2019-01-03,2021-01-03,[116],south carolina
ben,mcadams,M,1974-12-05,Ben McAdams,rep,Democrat,2019-01-03,2021-01-03,[116],utah
denver,riggleman,M,1970-03-17,Denver Riggleman,rep,Republican,2019-01-03,2021-01-03,[116],virginia
kwanza,hall,M,1971-05-01,Kwanza Hall,rep,Democrat,2020-12-03,2021-01-03,[116],georgia
cedric,richmond,M,1973-09-13,Cedric L. Richmond,rep,Democrat,2019-01-03,2021-01-03,[116],louisiana
kamala,harris,F,1964-10-20,Kamala D. Harris,sen,Democrat,2017-01-03,2021-01-18,"[115, 116, 117]",california
kelly,loeffler,F,1970-11-27,Kelly Loeffler,sen,Republican,2020-01-06,2021-01-20,"[116, 117]",georgia
ron,wright,M,1953-04-08,Ron Wright,rep,Republican,2019-01-03,2021-01-03,[116],texas
marcia,fudge,F,1952-10-29,Marcia L. Fudge,rep,Democrat,2019-01-03,2021-01-03,[116],ohio
debra,haaland,F,1960-12-02,Debra A. Haaland,rep,Democrat,2019-01-03,2021-01-03,[116],new mexico
alcee,hastings,M,1936-09-05,Alcee L. Hastings,rep,Democrat,2019-01-03,2021-01-03,[116],florida
steve,stivers,M,1965-03-24,Steve Stivers,rep,Republican,2019-01-03,2021-01-03,[116],ohio
devin,nunes,M,1973-10-01,Devin Nunes,rep,Republican,2019-01-03,2021-01-03,[116],california
jim,hagedorn,M,1962-08-04,Jim Hagedorn,rep,Republican,2019-01-03,2021-01-03,[116],minnesota
don,young,M,1933-06-09,Don Young,rep,Republican,2019-01-03,2021-01-03,[116],alaska
jeff,fortenberry,M,1960-12-27,Jeff Fortenberry,rep,Republican,2019-01-03,2021-01-03,[116],nebraska
filemon,vela,M,1963-02-13,Filemon Vela,rep,Democrat,2019-01-03,2021-01-03,[116],texas
tom,reed,M,1971-11-18,Tom Reed,rep,Republican,2019-01-03,2021-01-03,[116],new york
antonio,delgado,M,1977-01-28,Antonio Delgado,rep,Democrat,2019-01-03,2021-01-03,[116],new york
jackie,walorski,F,1963-08-17,Jackie Walorski,rep,Republican,2019-01-03,2021-01-03,[116],indiana
charlie,crist,M,1956-07-24,Charlie Crist,rep,Democrat,2019-01-03,2021-01-03,[116],florida
theodore,deutch,M,1966-05-07,Theodore E. Deutch,rep,Democrat,2019-01-03,2021-01-03,[116],florida
a.,mceachin,M,1961-10-10,A. Donald McEachin,rep,Democrat,2019-01-03,2021-01-03,[116],virginia
karen,bass,F,1953-10-03,Karen Bass,rep,Democrat,2019-01-03,2021-01-03,[116],california
roy,blunt,M,1950-01-10,Roy Blunt,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",missouri
kevin,brady,M,1955-04-11,Kevin Brady,rep,Republican,2019-01-03,2021-01-03,[116],texas
mo,brooks,M,1954-04-29,Mo Brooks,rep,Republican,2019-01-03,2021-01-03,[116],alabama
richard,burr,M,1955-11-30,Richard Burr,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",north carolina
george,butterfield,M,1947-04-27,G. K. Butterfield,rep,Democrat,2019-01-03,2021-01-03,[116],north carolina
steve,chabot,M,1953-01-22,Steve Chabot,rep,Republican,2019-01-03,2021-01-03,[116],ohio
jim,cooper,M,1954-06-19,Jim Cooper,rep,Democrat,2019-01-03,2021-01-03,[116],tennessee
peter,defazio,M,1947-05-27,Peter A. DeFazio,rep,Democrat,2019-01-03,2021-01-03,[116],oregon
michael,doyle,M,1953-08-05,Michael F. Doyle,rep,Democrat,2019-01-03,2021-01-03,[116],pennsylvania
bob,gibbs,M,1954-06-14,Bob Gibbs,rep,Republican,2019-01-03,2021-01-03,[116],ohio
louie,gohmert,M,1953-08-18,Louie Gohmert,rep,Republican,2019-01-03,2021-01-03,[116],texas
vicky,hartzler,F,1960-10-13,Vicky Hartzler,rep,Republican,2019-01-03,2021-01-03,[116],missouri
jaime,herrera beutler,F,1978-11-03,Jaime Herrera Beutler,rep,Republican,2019-01-03,2021-01-03,[116],washington
eddie,johnson,F,1935-12-03,Eddie Bernice Johnson,rep,Democrat,2019-01-03,2021-01-03,[116],texas
